CALIFORNIA			
Individual Income Tax Returns:  Selected Income and Tax Items by State,  ZIP Code, and Size of Adjusted Gross Income,  Tax Year 2012                                                                                                                                                                                                                                                                                                                                                                                                           			
[Money amounts are in thousands of dollars]			
ZIP code [1]	Size of adjusted gross income	Number of returns	Adjusted gross income (AGI)
			
		(1)	(8)
00000		16,566,670	1,204,833,705
00000	$1 under $25,000	6404780	81950048
00000	$25,000 under $50,000	3851420	138870904
00000	$50,000 under $75,000	2145000	131910234
00000	$75,000 under $100,000	1361280	117875012
00000	$100,000 under $200,000	2005070	274055549
00000	$200,000 or more	799120	460171958
			


			
94002		13,100	1,781,430
94002	$1 under $25,000	2820	31902
94002	$25,000 under $50,000	2020	75183
94002	$50,000 under $75,000	1640	100863
94002	$75,000 under $100,000	1340	116499
94002	$100,000 under $200,000	2910	413694
94002	$200,000 or more	2370	1043289
			
94005		2,560	271,582
94005	$1 under $25,000	570	6772
94005	$25,000 under $50,000	430	16261
94005	$50,000 under $75,000	350	21788
94005	$75,000 under $100,000	280	24077
94005	$100,000 under $200,000	570	81429
94005	$200,000 or more	360	121255
			
94010		20,310	6,293,548
94010	$1 under $25,000	4700	50979
94010	$25,000 under $50,000	2930	108662
94010	$50,000 under $75,000	2230	138118
94010	$75,000 under $100,000	1690	146773
94010	$100,000 under $200,000	3550	504270
94010	$200,000 or more	5210	5344746
			
94014		23,100	1,143,200
94014	$1 under $25,000	8310	107339
94014	$25,000 under $50,000	6610	240252
94014	$50,000 under $75,000	3590	219935
94014	$75,000 under $100,000	1930	166988
94014	$100,000 under $200,000	2340	308045
94014	$200,000 or more	320	100641
			
94015		30,480	1,781,390
94015	$1 under $25,000	9490	119730
94015	$25,000 under $50,000	7760	285206
94015	$50,000 under $75,000	5000	307552
94015	$75,000 under $100,000	3170	274426
94015	$100,000 under $200,000	4360	587502
94015	$200,000 or more	700	206974
			
94019		7,600	889,513
94019	$1 under $25,000	2290	29070
94019	$25,000 under $50,000	1460	52966
94019	$50,000 under $75,000	890	54898
94019	$75,000 under $100,000	660	57645
94019	$100,000 under $200,000	1350	191735
94019	$200,000 or more	950	503199
			104.4050633
94020		790	82,480
94020	$1 under $25,000	190	2210
94020	$25,000 under $50,000	140	5275
94020	$50,000 under $75,000	110	6599
94020	$75,000 under $100,000	90	8116
94020	$100,000 under $200,000	170	23851
94020	$200,000 or more	90	36429
			
94021		110	6,534
94021	$1 under $25,000	40	417
94021	$25,000 under $50,000	40	1650
94021	$50,000 under $75,000	**	**
94021	$75,000 under $100,000	30	4467
94021	$100,000 under $200,000	**	**
94021	$200,000 or more	**	**
			
94022		9,360	5,013,204
94022	$1 under $25,000	1860	17678
94022	$25,000 under $50,000	910	33753
94022	$50,000 under $75,000	680	42422
94022	$75,000 under $100,000	620	54258
94022	$100,000 under $200,000	1680	243479
94022	$200,000 or more	3610	4621614
			367.2075259
94024		10,630	3,903,416
94024	$1 under $25,000	2200	20259
94024	$25,000 under $50,000	910	33506
94024	$50,000 under $75,000	780	48703
94024	$75,000 under $100,000	660	57887
94024	$100,000 under $200,000	1980	288346
94024	$200,000 or more	4100	3454715
			
94025		19,060	6,330,818
94025	$1 under $25,000	4290	48947
94025	$25,000 under $50,000	2890	104844
94025	$50,000 under $75,000	2060	127332
94025	$75,000 under $100,000	1510	131133
94025	$100,000 under $200,000	3490	494591
94025	$200,000 or more	4820	5423971
			
94027		3,220	4,715,800
94027	$1 under $25,000	700	6160
94027	$25,000 under $50,000	270	10057
94027	$50,000 under $75,000	230	14153
94027	$75,000 under $100,000	170	14978
94027	$100,000 under $200,000	420	59204
94027	$200,000 or more	1430	4611248
			
94028		3,450	2,448,460
94028	$1 under $25,000	710	6866
94028	$25,000 under $50,000	330	12322
94028	$50,000 under $75,000	250	15534
94028	$75,000 under $100,000	210	18106
94028	$100,000 under $200,000	570	82347
94028	$200,000 or more	1380	2313285
			
94030		11,160	1,071,030
94030	$1 under $25,000	2980	34062
94030	$25,000 under $50,000	2070	76511
94030	$50,000 under $75,000	1550	95702
94030	$75,000 under $100,000	1110	96661
94030	$100,000 under $200,000	2290	320481
94030	$200,000 or more	1160	447613
			
94038		1,460	145,236
94038	$1 under $25,000	440	5482
94038	$25,000 under $50,000	280	9967
94038	$50,000 under $75,000	180	11013
94038	$75,000 under $100,000	100	8871
94038	$100,000 under $200,000	290	39440
94038	$200,000 or more	170	70463
			137.3422136
94040		15,540	2,134,298
94040	$1 under $25,000	3720	45822
94040	$25,000 under $50,000	2680	97722
94040	$50,000 under $75,000	1830	112992
94040	$75,000 under $100,000	1430	124008
94040	$100,000 under $200,000	3100	440372
94040	$200,000 or more	2780	1313382
			
94041		7,290	983,106
94041	$1 under $25,000	1610	20393
94041	$25,000 under $50,000	1340	49308
94041	$50,000 under $75,000	930	57058
94041	$75,000 under $100,000	710	61543
94041	$100,000 under $200,000	1500	212883
94041	$200,000 or more	1200	581921
			
94043		14,470	1,705,231
94043	$1 under $25,000	3180	39637
94043	$25,000 under $50,000	2600	96403
94043	$50,000 under $75,000	1900	117082
94043	$75,000 under $100,000	1530	132957
94043	$100,000 under $200,000	3320	469111
94043	$200,000 or more	1940	850041
			
94044		19,600	1,577,719
94044	$1 under $25,000	5070	60357
94044	$25,000 under $50,000	3720	137547
94044	$50,000 under $75,000	2970	182977
94044	$75,000 under $100,000	2250	195812
94044	$100,000 under $200,000	4320	593702
94044	$200,000 or more	1270	407324
			
94060		790	47,436
94060	$1 under $25,000	350	5058
94060	$25,000 under $50,000	190	6721
94060	$50,000 under $75,000	100	6242
94060	$75,000 under $100,000	40	3479
94060	$100,000 under $200,000	60	8411
94060	$200,000 or more	50	17525
			
94061		17,320	1,641,430
94061	$1 under $25,000	5190	65594
94061	$25,000 under $50,000	3710	135096
94061	$50,000 under $75,000	2210	135950
94061	$75,000 under $100,000	1580	137102
94061	$100,000 under $200,000	2960	413739
94061	$200,000 or more	1670	753949
			
94062		12,990	4,863,397
94062	$1 under $25,000	3000	33278
94062	$25,000 under $50,000	1850	68637
94062	$50,000 under $75,000	1350	83747
94062	$75,000 under $100,000	1050	91071
94062	$100,000 under $200,000	2490	356430
94062	$200,000 or more	3250	4230234
			
94063		13,720	730,382
94063	$1 under $25,000	5960	80964
94063	$25,000 under $50,000	3870	137916
94063	$50,000 under $75,000	1660	101027
94063	$75,000 under $100,000	850	73867
94063	$100,000 under $200,000	1070	144283
94063	$200,000 or more	310	192325
			
