GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Asian Indian,Margin of Error; Total: - Asian Indian,Estimate; Total: - Bangladeshi,Margin of Error; Total: - Bangladeshi,Estimate; Total: - Cambodian,Margin of Error; Total: - Cambodian,"Estimate; Total: - Chinese , except Taiwanese","Margin of Error; Total: - Chinese , except Taiwanese",Estimate; Total: - Filipino,Margin of Error; Total: - Filipino,Estimate; Total: - Hmong,Margin of Error; Total: - Hmong,Estimate; Total: - Indonesian,Margin of Error; Total: - Indonesian,Estimate; Total: - Japanese,Margin of Error; Total: - Japanese,Estimate; Total: - Korean,Margin of Error; Total: - Korean,Estimate; Total: - Laotian,Margin of Error; Total: - Laotian,Estimate; Total: - Malaysian,Margin of Error; Total: - Malaysian,Estimate; Total: - Pakistani,Margin of Error; Total: - Pakistani,Estimate; Total: - Sri Lankan,Margin of Error; Total: - Sri Lankan,Estimate; Total: - Taiwanese,Margin of Error; Total: - Taiwanese,Estimate; Total: - Thai,Margin of Error; Total: - Thai,Estimate; Total: - Vietnamese,Margin of Error; Total: - Vietnamese,Estimate; Total: - Other Asian,Margin of Error; Total: - Other Asian,"Estimate; Total: - Other Asian, not specified","Margin of Error; Total: - Other Asian, not specified"
8600000US89010,89010,ZCTA5 89010,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US89019,89019,ZCTA5 89019,190,103,0,12,0,12,0,12,43,36,97,102,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,50,55,0,12,0,12,0,12
8600000US89060,89060,ZCTA5 89060,69,85,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,13,22,0,19,56,83,0,19
8600000US89061,89061,ZCTA5 89061,302,171,0,12,0,12,0,12,79,99,204,125,0,12,19,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US89439,89439,ZCTA5 89439,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
8600000US90001,90001,ZCTA5 90001,78,39,2,4,0,29,15,24,13,15,0,29,0,29,0,29,4,10,20,21,0,29,0,29,0,29,0,29,0,29,14,16,0,29,10,17,0,29
8600000US90002,90002,ZCTA5 90002,67,51,0,26,0,26,0,26,2,6,36,39,0,26,0,26,9,15,10,25,0,26,0,26,0,26,0,26,0,26,0,26,10,17,0,26,0,26
8600000US90003,90003,ZCTA5 90003,103,96,0,29,0,29,0,29,20,26,11,12,0,29,0,29,8,14,0,29,0,29,0,29,0,29,0,29,0,29,0,29,55,88,0,29,9,18
8600000US90004,90004,ZCTA5 90004,15641,1015,392,173,134,110,45,64,597,193,6159,760,0,29,115,100,344,146,6896,845,14,16,0,29,0,29,22,29,49,81,587,257,85,59,138,87,64,56
