GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071,D072,D073
Id,Id2,Geography,Total:,Hispanic or Latino,Not Hispanic or Latino:,Not Hispanic or Latino: - Population of one race:,Not Hispanic or Latino: - Population of one race: - White alone,Not Hispanic or Latino: - Population of one race: - Black or African American alone,Not Hispanic or Latino: - Population of one race: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Population of one race: - Asian alone,Not Hispanic or Latino: - Population of one race: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Population of one race: - Some Other Race alone,Not Hispanic or Latino: - Two or More Races:,Not Hispanic or Latino: - Two or More Races: - Population of two races:,Not Hispanic or Latino: - Two or More Races: - Population of two races: - White; Black or African American,Not Hispanic or Latino: - Two or More Races: - Population of two races: - White; American Indian and Alaska Native,Not Hispanic or Latino: - Two or More Races: - Population of two races: - White; Asian,Not Hispanic or Latino: - Two or More Races: - Population of two races: - White; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of two races: - White; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of two races: - Black or African American; American Indian and Alaska Native,Not Hispanic or Latino: - Two or More Races: - Population of two races: - Black or African American; Asian,Not Hispanic or Latino: - Two or More Races: - Population of two races: - Black or African American; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of two races: - Black or African American; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of two races: - American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Two or More Races: - Population of two races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of two races: - American Indian and Alaska Native; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of two races: - Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of two races: - Asian; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of two races: - Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of three races:,Not Hispanic or Latino: - Two or More Races: - Population of three races: - White; Black or African American; American Indian and Alaska Native,Not Hispanic or Latino: - Two or More Races: - Population of three races: - White; Black or African American; Asian,Not Hispanic or Latino: - Two or More Races: - Population of three races: - White; Black or African American; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of three races: - White; Black or African American; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of three races: - White; American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Two or More Races: - Population of three races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of three races: - White; American Indian and Alaska Native; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of three races: - White; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of three races: - White; Asian; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of three races: - White; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of three races: - Black or African American; American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Two or More Races: - Population of three races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of three races: - Black or African American; American Indian and Alaska Native; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of three races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of three races: - Black or African American; Asian; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of three races: - Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of three races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of three races: - American Indian and Alaska Native; Asian; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of three races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of three races: - Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of four races:,Not Hispanic or Latino: - Two or More Races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Two or More Races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of four races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of four races: - White; Black or African American; Asian; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of four races: - White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of four races: - White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of four races: - White; American Indian and Alaska Native; Asian; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of four races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of four races: - White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of four races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of four races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of four races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of five races:,Not Hispanic or Latino: - Two or More Races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Two or More Races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of five races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of five races: - White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of five races: - Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Not Hispanic or Latino: - Two or More Races: - Population of six races:,Not Hispanic or Latino: - Two or More Races: - Population of six races: - White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
8600000US89010,89010,ZCTA5 89010,415,105,310,294,264,2,27,1,0,0,16,16,2,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US89019,89019,ZCTA5 89019,2673,434,2239,2159,1922,83,19,118,9,8,80,75,12,32,11,14,1,1,0,0,0,0,0,0,3,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US89060,89060,ZCTA5 89060,10227,1380,8847,8555,8101,191,98,109,42,14,292,257,41,103,64,18,1,13,1,2,0,0,0,5,8,0,1,34,11,3,0,0,0,0,1,10,0,0,0,0,0,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US89061,89061,ZCTA5 89061,5252,696,4556,4443,4132,126,60,90,26,9,113,109,23,36,34,1,3,3,1,1,0,0,0,0,6,1,0,4,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US89439,89439,ZCTA5 89439,1417,68,1349,1331,1293,3,7,16,12,0,18,18,5,5,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US90001,90001,ZCTA5 90001,57110,50544,6566,6437,356,5857,39,86,14,85,129,109,27,8,3,0,5,27,9,4,18,0,2,1,3,1,1,16,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
8600000US90002,90002,ZCTA5 90002,51223,37598,13625,13322,330,12723,62,102,21,84,303,244,71,11,8,1,10,82,12,20,28,0,0,0,0,0,1,57,24,7,7,0,0,0,0,3,0,2,0,1,5,6,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US90003,90003,ZCTA5 90003,66266,49386,16880,16508,462,15672,80,105,18,171,372,321,77,3,8,1,12,117,27,16,52,0,2,0,4,1,1,47,18,5,4,1,1,0,7,0,0,0,0,0,8,1,0,1,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
8600000US90004,90004,ZCTA5 90004,62180,31987,30193,29317,10466,1962,94,16540,39,216,876,799,142,43,334,9,31,15,59,4,14,33,1,6,45,61,2,56,34,6,2,0,0,0,0,6,1,0,0,0,0,2,2,1,1,1,0,0,21,17,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
